beta,day,prop_infected
0.14,59,0.0008116828052983525
0.14,60,0.0008084009941795602
0.14,61,0.0008051197002599187
0.14,62,0.0008018390777545872
0.14,63,0.0007985592795525498
0.14,64,0.0007952804572107594
0.14,65,0.0007920027609485778
0.14,66,0.0007887263396425118
0.14,67,0.0007854513408212396
0.14,68,0.0007821779106609268
0.14,69,0.0007789061939808291
0.14,70,0.0007756363342391781
0.14,71,0.0007723684735293477
0.14,72,0.0007691027525762989
0.14,73,0.0007658393107332986
0.14,74,0.0007625782859789114
0.14,75,0.0007593198149142594
0.14,76,0.0007560640327605485
0.14,77,0.0007528110733568576
0.14,78,0.0007495610691581876
0.14,79,0.0007463141512337666
0.14,80,0.0007430704492656095
0.14,81,0.0007398300915473277
0.14,82,0.0007365932049831855
0.14,83,0.0007333599150874016
0.14,84,0.0007301303459836906
0.14,85,0.0007269046204050424
0.14,86,0.0007236828596937359
0.14,87,0.0007204651838015839
0.14,88,0.0007172517112904053
0.14,89,0.0007140425593327226
0.14,90,0.0007108378437126797
0.14,91,0.000707637678827178
0.14,92,0.0007044421776872268
0.14,93,0.0007012514519195055
0.14,94,0.0006980656117681326
0.14,95,0.00069488476609664
0.14,96,0.0006917090223901482
0.14,97,0.0006885384867577389
0.14,98,0.0006853732639350228
0.14,99,0.0006822134572868979
0.16,0,0.001
0.16,1,0.0010169828571428572
0.16,2,0.0010342281229960672
0.16,3,0.0010517389270458916
0.16,4,0.0010695184021208021
0.16,5,0.0010875696828950778
0.16,6,0.001105895904329279
0.16,7,0.0011245002000461236
0.16,8,0.001143385700640297
0.16,9,0.0011625555319207306
0.16,10,0.0011820128130838887
0.16,11,0.001201760654816619
0.16,12,0.0012218021573271278
0.16,13,0.0012421404083026635
0.16,14,0.0012627784807925063
0.16,15,0.0012837194310148876
0.16,16,0.001304966296086488
0.16,17,0.0013265220916731915
0.16,18,0.0013483898095608081
0.16,19,0.0013705724151445173
0.16,20,0.0013930728448358226
0.16,21,0.0014158940033858578
0.16,22,0.0014390387611239368
0.16,23,0.0014625099511102924
0.16,24,0.0014863103662020151
0.16,25,0.0015104427560312667
0.16,26,0.0015349098238949172
0.16,27,0.0015597142235548316
0.16,28,0.0015848585559481154
0.16,29,0.001610345365806723
0.16,30,0.0016361771381859197
0.16,31,0.0016623562949012033
0.16,32,0.0016888851908733907
0.16,33,0.0017157661103816958
0.16,34,0.001743001263224751
0.16,35,0.0017705927807896479
0.16,36,0.0017985427120292205
0.16,37,0.001826853019347932
0.16,38,0.0018555255743968849
0.16,39,0.0018845621537786335
0.16,40,0.001913964434662648
0.16,41,0.001943733990312457
0.16,42,0.0019738722855256806
0.16,43,0.002004380671988361
0.16,44,0.002035260383545201
0.16,45,0.0020665125313875294
0.16,46,0.0020981380991610355
0.16,47,0.0021301379379955365
0.16,48,0.00216251276145929
0.16,49,0.002195263140440592
0.16,50,0.002228389497959673
0.16,51,0.002261892103914146
0.16,52,0.0022957710697615536
0.16,53,0.0023300263431428134
0.16,54,0.0023646577024506723
0.16,55,0.002399664751347547
0.16,56,0.0024350469132374546
0.16,57,0.002470803425697027
0.16,58,0.0025069333348709186
0.16,59,0.002543435489837248
0.16,60,0.0025803085369490303
0.16,61,0.0026175509141578863
0.16,62,0.0026551608453266686
0.16,63,0.0026931363345379595
0.16,64,0.002731475160405763
0.16,65,0.0027701748703980456
0.16,66,0.002809232775178136
0.16,67,0.002848645942973348
0.16,68,0.0028884111939795286
0.16,69,0.002928525094810602
0.16,70,0.0029689839530025177
0.16,71,0.0030097838115813605
0.16,72,0.0030509204437057257
0.16,73,0.0030923893473938048
0.16,74,0.0031341857403459493
0.16,75,0.0031763045548738253
0.16,76,0.0032187404329475687
0.16,77,0.003261487721372678
0.16,78,0.003304540467108668
0.16,79,0.003347892412741794
0.16,80,0.0033915369921244387
0.16,81,0.003435467326193988
0.16,82,0.0034796762189842866
0.16,83,0.0035241561538429636
0.16,84,0.0035688992898681273
0.16,85,0.0036138974585781065
0.16,86,0.00365914216082807
0.16,87,0.0037046245639874792
0.16,88,0.003750335499392438
0.16,89,0.0037962654600870735
0.16,90,0.003842404598868122
0.16,91,0.003888742726646911
0.16,92,0.003935269311142898
0.16,93,0.003981973475922871
0.16,94,0.0040288439997998235
0.16,95,0.004075869316605366
0.16,96,0.004123037515349393
0.16,97,0.004170336340780463
0.16,98,0.004217753194360139
0.16,99,0.004265275135664187
0.18,0,0.001
0.18,1,0.0010369628571428571
0.18,2,0.0010752584030949027
0.18,3,0.001114932138830524
0.18,4,0.001156030924327
0.18,5,0.0011986030039367605
0.18,6,0.001242698030925118
0.18,7,0.0012883670910271454
0.18,8,0.0013356627248655353
0.18,9,0.0013846389490587612
0.18,10,0.0014353512758356797
0.18,11,0.001487856730958808
0.18,12,0.001542213869743916
0.18,13,0.0015984827909482425
0.18,14,0.0016567251482836076
0.18,15,0.001717004159293919
0.18,16,0.0017793846113190945
0.18,17,0.0018439328642492344
0.18,18,0.0019107168497540126
0.18,19,0.0019798060666527295
0.18,20,0.002051271572070328
0.18,21,0.002125185968003963
0.18,22,0.002201623382903479
0.18,23,0.0022806594478474895
0.18,24,0.002362371266874707
0.18,25,0.0024468373810079035
0.18,26,0.0025341377254854344
0.18,27,0.002624353579692839
0.18,28,0.002717567509264738
0.18,29,0.0028138632998052967
0.18,30,0.0029133258816541026
0.18,31,0.0030160412451036354
0.18,32,0.003122096345454844
0.18,33,0.0032315789972789935
0.18,34,0.0033445777572371806
0.18,35,0.003461181794794111
0.18,36,0.0035814807501502646
0.18,37,0.0037055645787068383
0.18,38,0.0038335233813713257
0.18,39,0.003965447220008739
0.18,40,0.0041014259173448265
0.18,41,0.004241548840633754
0.18,42,0.00438590466841419
0.18,43,0.00453458113969521
0.18,44,0.004687664784937545
0.18,45,0.004845240638227196
0.18,46,0.005007391930077962
0.18,47,0.005174199760347848
0.18,48,0.005345742750812239
0.18,49,0.00552209667700507
0.18,50,0.005703334079018667
