day,alpha,prop_infected
87,0.5800000000000001,0.0001397473439687836
88,0.5800000000000001,0.00012302549037592774
89,0.5800000000000001,0.00010830599475634678
90,0.5800000000000001,9.534888897761106e-05
91,0.5800000000000001,8.394298861304142e-05
92,0.5800000000000001,7.390243737767473e-05
93,0.5800000000000001,6.506366671456859e-05
94,0.5800000000000001,5.7282720641357336e-05
95,0.5800000000000001,5.043290195805028e-05
96,0.5800000000000001,4.440270119075399e-05
97,0.5800000000000001,3.909397428759097e-05
98,0.5800000000000001,3.442033916788733e-05
99,0.5800000000000001,3.030576482016861e-05
100,0.5800000000000001,2.6683329807253297e-05
1,0.6000000000000001,0.001
2,0.6000000000000001,0.001516062857142857
3,0.6000000000000001,0.002283185278019308
4,0.6000000000000001,0.0034231964392673077
5,0.6000000000000001,0.005115672735664177
6,0.6000000000000001,0.007623703247422293
7,0.6000000000000001,0.011329195089745924
8,0.6000000000000001,0.016778821492997368
9,0.6000000000000001,0.024738423920390065
10,0.6000000000000001,0.0362452786333516
11,0.6000000000000001,0.052629740536623226
12,0.6000000000000001,0.0754457162512438
13,0.6000000000000001,0.1062056809729815
14,0.6000000000000001,0.14579105484643898
15,0.6000000000000001,0.19349432127020103
16,0.6000000000000001,0.24598711171212703
17,0.6000000000000001,0.2970737377467134
18,0.6000000000000001,0.33924259865013495
19,0.6000000000000001,0.3667535970102661
20,0.6000000000000001,0.3779955267217451
21,0.6000000000000001,0.3751566491035625
22,0.6000000000000001,0.36209304489057215
23,0.6000000000000001,0.34252019335371003
24,0.6000000000000001,0.3193046133188495
25,0.6000000000000001,0.2944490088001641
26,0.6000000000000001,0.2692894411555128
27,0.6000000000000001,0.24469151285188556
28,0.6000000000000001,0.22119699815835991
29,0.6000000000000001,0.19912553893600574
30,0.6000000000000001,0.17864447646543377
31,0.6000000000000001,0.15981728115288538
32,0.6000000000000001,0.14263754480137086
33,0.6000000000000001,0.12705302634476384
34,0.6000000000000001,0.11298269966738131
35,0.6000000000000001,0.10032880193107
36,0.6000000000000001,0.08898527733525666
37,0.6000000000000001,0.07884361150794447
38,0.6000000000000001,0.06979677668861736
39,0.6000000000000001,0.06174181314655472
40,0.6000000000000001,0.05458143177930167
41,0.6000000000000001,0.04822492026547839
42,0.6000000000000001,0.04258855975653828
43,0.6000000000000001,0.037595703479417354
44,0.6000000000000001,0.03317662753063397
45,0.6000000000000001,0.02926823377023601
46,0.6000000000000001,0.025813662288777725
47,0.6000000000000001,0.022761854372308238
48,0.6000000000000001,0.020067094712624346
49,0.6000000000000001,0.017688552677961628
50,0.6000000000000001,0.015589835937165416
51,0.6000000000000001,0.013738564996530277
52,0.6000000000000001,0.012105973800060676
53,0.6000000000000001,0.010666539116039396
