day,variable_0,variable_1,prop_infected
44,0.7500000000000002,0.1,0.0033037765384592624
45,0.7500000000000002,0.1,0.003401707680426507
46,0.7500000000000002,0.1,0.0035015695040493387
47,0.7500000000000002,0.1,0.0036033318755762235
48,0.7500000000000002,0.1,0.003706959332032256
49,0.7500000000000002,0.1,0.003812410813094816
50,0.7500000000000002,0.1,0.003919639401576196
51,0.7500000000000002,0.1,0.004028592074140789
52,0.7500000000000002,0.1,0.004139209464058456
53,0.7500000000000002,0.1,0.004251425637956611
54,0.7500000000000002,0.1,0.004365167888680025
55,0.7500000000000002,0.1,0.004480356546497659
56,0.7500000000000002,0.1,0.004596904811008101
57,0.7500000000000002,0.1,0.004714718606187386
58,0.7500000000000002,0.1,0.004833696461092772
59,0.7500000000000002,0.1,0.004953729418781114
60,0.7500000000000002,0.1,0.0050747009760185756
61,0.7500000000000002,0.1,0.005196487056346815
62,0.7500000000000002,0.1,0.00531895601902762
63,0.7500000000000002,0.1,0.005441968706310641
64,0.7500000000000002,0.1,0.005565378531355743
65,0.7500000000000002,0.1,0.005689031608990731
66,0.7500000000000002,0.1,0.005812766931295527
67,0.7500000000000002,0.1,0.005936416589774479
68,0.7500000000000002,0.1,0.006059806045608911
69,0.7500000000000002,0.1,0.006182754449172623
70,0.7500000000000002,0.1,0.006305075009644591
71,0.7500000000000002,0.1,0.006426575415167257
72,0.7500000000000002,0.1,0.006547058303577849
73,0.7500000000000002,0.1,0.006666321783287189
74,0.7500000000000002,0.1,0.006784160003399429
75,0.7500000000000002,0.1,0.006900363771661724
76,0.7500000000000002,0.1,0.00701472121831052
77,0.7500000000000002,0.1,0.007127018503347103
78,0.7500000000000002,0.1,0.007237040564236209
79,0.7500000000000002,0.1,0.007344571900485316
80,0.7500000000000002,0.1,0.007449397391036636
81,0.7500000000000002,0.1,0.007551303139897161
82,0.7500000000000002,0.1,0.007650077344952844
83,0.7500000000000002,0.1,0.007745511184469729
84,0.7500000000000002,0.1,0.007837399715385971
85,0.7500000000000002,0.1,0.007925542777152354
86,0.7500000000000002,0.1,0.008009745894592697
87,0.7500000000000002,0.1,0.008089821173036449
88,0.7500000000000002,0.1,0.008165588178829758
89,0.7500000000000002,0.1,0.008236874798263493
90,0.7500000000000002,0.1,0.008303518067970781
91,0.7500000000000002,0.1,0.008365364969945322
92,0.7500000000000002,0.1,0.008422273184515838
93,0.7500000000000002,0.1,0.008474111794881396
94,0.7500000000000002,0.1,0.008520761937164771
95,0.7500000000000002,0.1,0.00856211739037324
96,0.7500000000000002,0.1,0.008598085101163042
97,0.7500000000000002,0.1,0.008628585638878899
98,0.7500000000000002,0.1,0.008653553576975719
99,0.7500000000000002,0.1,0.00867293779761698
100,0.7500000000000002,0.1,0.008686701716973525
1,0.8000000000000003,0.1,0.001
2,0.8000000000000003,0.1,0.0009998000000000001
3,0.8000000000000003,0.1,0.0010055357107876001
4,0.8000000000000003,0.1,0.0010167147123241918
