recovery,day,prop_infected
9,13,0.009330257042808938
9,14,0.011052653797616522
9,15,0.013083862185774033
9,16,0.015475563975069388
9,17,0.01828661047478535
9,18,0.02158341273763194
9,19,0.02544007599954446
9,20,0.029938135773099984
9,21,0.03516571081167219
9,22,0.04121584358752772
9,23,0.048183758512826
9,24,0.056162743210801475
9,25,0.06523836618367031
9,26,0.07548080934401666
9,27,0.08693524530950801
9,28,0.09961045611334907
9,29,0.11346628986608222
9,30,0.12840107413523344
9,31,0.14424068844965093
9,32,0.16073151434417307
9,33,0.1775397326886176
9,34,0.19425919556290722
9,35,0.21042918468695038
9,36,0.2255617667668884
9,37,0.23917641849357418
9,38,0.2508376421729863
9,39,0.26019008034356106
9,40,0.266985683522185
9,41,0.2710989070088378
9,42,0.2725283214471813
9,43,0.27138566826842997
9,44,0.26787549321198956
9,45,0.26226955433939103
9,46,0.2548801604714833
9,47,0.24603574077569387
9,48,0.23606071719018182
9,49,0.22526054509832333
9,50,0.2139118491867395
9,51,0.20225699358427776
9,52,0.19050215619075184
9,53,0.17881794035480827
9,54,0.16734165900002734
9,55,0.15618059070595336
9,56,0.14541568299127877
9,57,0.13510533661686794
9,58,0.12528903403516384
9,59,0.11599067316792792
9,60,0.10722153772626201
9,61,0.0989828825547544
9,62,0.0912681424625211
9,63,0.08406479052697421
9,64,0.07735588080365466
9,65,0.07112131368270865
9,66,0.06533886191884361
9,67,0.05998499309918703
9,68,0.055035520989218226
9,69,0.05046611444782079
9,70,0.04625268882152023
9,71,0.04237170114293047
9,72,0.03880036718845848
9,73,0.03551681554530861
9,74,0.03250019130532244
9,75,0.02973071982623091
9,76,0.027189739149642157
9,77,0.024859708104138945
9,78,0.02272419581470874
9,79,0.020767857251342
9,80,0.01897639854780463
9,81,0.017336535077542625
9,82,0.01583594466220164
9,83,0.0144632177875723
9,84,0.013207806293304787
9,85,0.012059971670712688
9,86,0.011010733834136463
9,87,0.010051821014543444
9,88,0.00917562125002884
9,89,0.008375135808937917
9,90,0.007643934771057833
9,91,0.006976114905438581
9,92,0.006366259915529548
9,93,0.005809403069864307
9,94,0.005300992196533772
9,95,0.004836856989728936
9,96,0.004413178554720223
9,97,0.004026461102144294
9,98,0.0036735056920635446
9,99,0.0033513859218673872
10,0,0.001
10,1,0.0011997
10,2,0.001439172224973
10,3,0.0017262903325453616
10,4,0.002070465923062462
10,5,0.0024829398073459748
10,6,0.0029771244052506866
10,7,0.0035690044410320683
10,8,0.004277603247893686
10,9,0.0051255216473504
10,10,0.006139555231884513
10,11,0.007351393529065456
10,12,0.008798400374050351
10,13,0.010524468067408461
10,14,0.012580927494155472
10,15,0.01502748098855018
10,16,0.017933102724801732
10,17,0.02137682096906679
10,18,0.025448255831623853
10,19,0.030247733874341695
10,20,0.03588573703045768
10,21,0.0424813704243264
10,22,0.050159459174204744
10,23,0.05904582283304273
10,24,0.0692602528589573
10,25,0.08090677118594504
10,26,0.09406092661596864
10,27,0.10875424611590549
10,28,0.12495654474348951
10,29,0.1425576137633643
10,30,0.16135077059244982
10,31,0.18102166062908176
10,32,0.20114620747605438
10,33,0.22120129370229583
10,34,0.24059027537475855
10,35,0.25868275508375177
