day,lambda,value,group
65,1.6,0.005979740033441888,misinformed
66,1.6,0.00528440313619564,misinformed
67,1.6,0.0046698270063073675,misinformed
68,1.6,0.004126720846405977,misinformed
69,1.6,0.0036468337671022215,misinformed
70,1.6,0.003222846130436002,misinformed
71,1.6,0.0028482702688837134,misinformed
72,1.6,0.002517360296985763,misinformed
73,1.6,0.002225030573132291,misinformed
74,1.6,0.0019667822730531333,misinformed
75,1.6,0.0017386374862725573,misinformed
76,1.6,0.0015370802288806763,misinformed
77,1.6,0.0013590037705196781,misinformed
78,1.6,0.0012016636931412171,misinformed
79,1.6,0.0010626361284666967,misinformed
80,1.6,0.0009397806562476703,misinformed
81,1.6,0.0008312073835547573,misinformed
82,1.6,0.0007352477644210505,misinformed
83,1.6,0.0006504287578454218,misinformed
84,1.6,0.0005754499594931285,misinformed
85,1.6,0.0005091633778210519,misinformed
86,1.6,0.000450555558451833,misinformed
87,1.6,0.0003987317912494402,misinformed
88,1.6,0.0003529021626566327,misinformed
89,1.6,0.00031236924147644654,misinformed
90,1.6,0.0002765172095067064,misinformed
91,1.6,0.000244802269396689,misinformed
92,1.6,0.00021674418093783283,misinformed
93,1.6,0.00019191879388564918,misinformed
94,1.6,0.00016995146050030296,misinformed
95,1.6,0.00015051122444865428,misinformed
96,1.6,0.00013330569468466278,misinformed
97,1.6,0.00011807652356330957,misinformed
98,1.6,0.00010459541788120568,misinformed
99,1.6,9.266061990009333e-05,misinformed
100,1.6,8.209380281227693e-05,misinformed
1,1.8,0.001,misinformed
2,1.8,0.0011266028571428571,misinformed
3,1.8,0.0013094672412832706,misinformed
4,1.8,0.0015609383004724644,misinformed
5,1.8,0.001897103142816503,misinformed
6,1.8,0.0023386916614403655,misinformed
7,1.8,0.002912190311472139,misinformed
8,1.8,0.0036511988742668044,misinformed
9,1.8,0.004598052473470611,misinformed
10,1.8,0.005805712159654133,misinformed
11,1.8,0.007339889786179582,misinformed
12,1.8,0.009281305639436492,misinformed
13,1.8,0.011727865055741343,misinformed
14,1.8,0.014796363647590786,misinformed
15,1.8,0.018623068941823015,misinformed
16,1.8,0.023362165028662903,misinformed
17,1.8,0.02918059684486618,misinformed
18,1.8,0.03624738128328045,misinformed
19,1.8,0.04471514443709723,misinformed
20,1.8,0.05469185332696025,misinformed
21,1.8,0.06620199673951928,misinformed
22,1.8,0.07913949784780333,misinformed
23,1.8,0.09321979250243531,misinformed
24,1.8,0.10794509814090278,misinformed
25,1.8,0.12260223691100026,misinformed
26,1.8,0.13631160638729037,misinformed
27,1.8,0.1481341475183634,misinformed
28,1.8,0.1572204934101289,misinformed
29,1.8,0.16296228536710583,misinformed
30,1.8,0.1650959685199878,misinformed
31,1.8,0.16372478895958512,misinformed
32,1.8,0.15925848555709618,misinformed
33,1.8,0.1523014723297373,misinformed
34,1.8,0.1435316289660433,misinformed
35,1.8,0.1336021464763519,misinformed
36,1.8,0.12308008347232484,misinformed
37,1.8,0.11241956514894044,misinformed
38,1.8,0.10195987304298201,misinformed
39,1.8,0.09193772925018814,misinformed
40,1.8,0.08250548927784991,misinformed
41,1.8,0.073750062861271,misinformed
42,1.8,0.06570990712753963,misinformed
43,1.8,0.05838908492410197,misinformed
44,1.8,0.05176829533278865,misinformed
45,1.8,0.04581320825972101,misinformed
46,1.8,0.04048057826268947,misinformed
47,1.8,0.035722613928307834,misinformed
48,1.8,0.031490019857162814,misinformed
49,1.8,0.027734051637104365,misinformed
50,1.8,0.024407850197081735,misinformed
51,1.8,0.021467258450504723,misinformed
52,1.8,0.018871271918702345,misinformed
53,1.8,0.016582235181362755,misinformed
54,1.8,0.014565865714583178,misinformed
55,1.8,0.012791164008094132,misinformed
56,1.8,0.011230252067534589,misinformed
57,1.8,0.00985817007754257,misinformed
58,1.8,0.008652652002648148,misinformed
59,1.8,0.007593894373705305,misinformed
